ANSI,State,County,sqmiles,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
a01001,ALABAMA,AUTAUGA,594.4171875,0,0,0,0,18000,1300,0,2000
a01003,ALABAMA,BALDWIN,1589.757813,0,0,0,0,130000,43600,18500,15000
a01005,ALABAMA,BARBOUR,884.8421875,0,0,0,0,4300,0,0,0
a01007,ALABAMA,BIBB,622.575,0,0,0,0,8400,0,0,0
a01009,ALABAMA,BLOUNT,644.7,0,0,0,0,28000,5100,1200,2000
a01011,ALABAMA,BULLOCK,622.7953125,0,0,0,0,33000,1900,0,0
a01013,ALABAMA,BUTLER,776.8296875,0,0,0,0,13500,2000,0,0
a01015,ALABAMA,CALHOUN,605.8640625,0,0,0,0,17400,6700,1800,3500
a01017,ALABAMA,CHAMBERS,596.5234375,0,0,0,0,1600,0,0,0
a01019,ALABAMA,CHEROKEE,553.7078125,0,0,0,0,46000,18000,4000,15000
a01021,ALABAMA,CHILTON,692.8484375,0,0,0,0,8800,0,0,0
a01023,ALABAMA,CHOCTAW,913.490625,0,0,0,0,4000,0,0,0
a01025,ALABAMA,CLARKE,1238.445313,0,0,0,0,3000,0,0,0
a01027,ALABAMA,CLAY,603.9546875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a01029,ALABAMA,CLEBURNE,560.090625,0,0,0,0,3700,800,0,0
a01031,ALABAMA,COFFEE,678.9671875,0,0,0,0,29000,2300,0,2600
a01033,ALABAMA,COLBERT,592.6140625,0,0,0,0,35000,5400,4100,18000
a01035,ALABAMA,CONECUH,850.140625,0,0,0,0,27000,3000,0,1400
a01037,ALABAMA,COOSA,650.9046875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a01039,ALABAMA,COVINGTON,1030.451563,0,0,0,0,69000,4800,0,1000
a01041,ALABAMA,CRENSHAW,608.80625,0,0,0,0,15000,600,0,0
a01043,ALABAMA,CULLMAN,734.859375,0,0,0,0,38000,8400,3300,6000
a01045,ALABAMA,DALE,561.1421875,0,0,0,0,8000,1900,0,0
a01047,ALABAMA,DALLAS,978.6859375,0,0,0,0,96000,18200,5900,0
a01049,ALABAMA,DE KALB,777.0796875,0,0,0,0,54700,16200,9400,12500
a01051,ALABAMA,ELMORE,618.4796875,0,0,0,0,20000,1100,0,3500
a01053,ALABAMA,ESCAMBIA,945.05625,0,0,0,0,46500,19300,2500,3500
a01055,ALABAMA,ETOWAH,534.79375,0,0,0,0,20200,6200,1100,0
a01057,ALABAMA,FAYETTE,627.65,0,0,0,0,17000,3400,1500,2900
a01059,ALABAMA,FRANKLIN,633.834375,0,0,0,0,20000,4800,0,3500
a01061,ALABAMA,GENEVA,574.3890625,0,0,0,0,69000,8400,0,2600
a01063,ALABAMA,GREENE,647.0984375,0,0,0,0,38000,4400,0,0
a01065,ALABAMA,HALE,643.93125,0,0,0,0,48000,8900,3500,0
a01067,ALABAMA,HENRY,561.753125,0,0,0,0,9200,2200,0,0
a01069,ALABAMA,HOUSTON,579.8125,0,0,0,0,57000,16700,2600,4000
a01071,ALABAMA,JACKSON,1077.865625,0,0,0,0,98000,38700,28000,26000
a01073,ALABAMA,JEFFERSON,1111.201563,0,0,0,0,600,0,0,0
a01075,ALABAMA,LAMAR,604.84375,0,0,0,0,13000,3300,0,0
a01077,ALABAMA,LAUDERDALE,667.6984375,0,0,0,0,74000,9700,9000,16000
a01079,ALABAMA,LAWRENCE,690.66875,0,0,0,0,67000,12300,4800,22000
a01081,ALABAMA,LEE,607.540625,0,0,0,0,4600,0,0,0
a01083,ALABAMA,LIMESTONE,559.9390625,0,0,0,0,70000,21600,15500,56000
a01085,ALABAMA,LOWNDES,715.9,0,0,0,0,32000,4000,0,0
a01087,ALABAMA,MACON,608.934375,0,0,0,0,36500,2800,0,1400
a01089,ALABAMA,MADISON,801.5953125,0,0,0,0,135000,38700,30000,35000
a01091,ALABAMA,MARENGO,976.871875,0,0,0,0,59000,4500,0,4500
a01093,ALABAMA,MARION,742.2890625,0,0,0,0,23000,5900,3000,0
a01095,ALABAMA,MARSHALL,565.821875,0,0,0,0,55000,18100,5700,5300
a01097,ALABAMA,MOBILE,1229.426563,0,0,0,0,49000,12400,0,0
a01099,ALABAMA,MONROE,1025.657813,0,0,0,0,31000,6100,0,0
a01101,ALABAMA,MONTGOMERY,784.196875,0,0,0,0,45000,6200,0,0
a01103,ALABAMA,MORGAN,579.3296875,0,0,0,0,42000,9200,5500,7000
a01105,ALABAMA,PERRY,719.653125,0,0,0,0,88000,22300,0,0
a01107,ALABAMA,PICKENS,881.3484375,0,0,0,0,36000,10600,0,3500
a01109,ALABAMA,PIKE,671.940625,0,0,0,0,11500,0,0,1400
a01111,ALABAMA,RANDOLPH,580.5421875,0,0,0,0,3500,0,0,0
a01113,ALABAMA,RUSSELL,641.1640625,0,0,0,0,33500,1600,0,0
a01115,ALABAMA,SAINT CLAIR,631.875,0,0,0,0,3200,0,0,0
a01117,ALABAMA,SHELBY,784.91875,0,0,0,0,8000,0,0,2500
a01119,ALABAMA,SUMTER,903.878125,0,0,0,0,32500,6000,1400,0
a01121,ALABAMA,TALLADEGA,736.7625,0,0,0,0,46000,11700,0,0
a01123,ALABAMA,TALLAPOOSA,716.4546875,0,0,0,0,1300,0,0,0
a01125,ALABAMA,TUSCALOOSA,1321.735938,0,0,0,0,26500,2900,1300,3500
a01127,ALABAMA,WALKER,791.1921875,0,0,0,0,2000,0,0,0
a01129,ALABAMA,WASHINGTON,1080.190625,0,0,0,0,13000,1200,0,0
a01131,ALABAMA,WILCOX,888.4890625,0,0,0,0,20000,2100,0,0
a01133,ALABAMA,WINSTON,612.9703125,0,0,0,0,3000,0,0,0
a01000,ALABAMA,,52419.02,0,0,0,0,1000,2500,26400,66900
a02000,ALASKA,,663267.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02013,ALASKA,Aleutians East Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02016,ALASKA,Aleutians West Census Area,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02020,ALASKA,Anchorage Municipality,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02050,ALASKA,Bethel Census Area,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02060,ALASKA,Bristol Bay Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02068,ALASKA,Denali Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02070,ALASKA,Dillingham Census Area,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02090,ALASKA,Fairbanks North Star Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02100,ALASKA,Haines Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02105,ALASKA,Hoonah-Angoon Census Area,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02110,ALASKA,Juneau City and Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02122,ALASKA,Kenai Peninsula Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02130,ALASKA,Ketchikan Gateway Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02150,ALASKA,Kodiak Island Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02164,ALASKA,Lake and Peninsula Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02170,ALASKA,Matanuska-Susitna Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
