ANSI,State,County,sqmiles,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000
a01001,ALABAMA,AUTAUGA,594.4171875,0,0,0,0,1700,3200,4700,5800
a01003,ALABAMA,BALDWIN,1589.757813,0,0,0,0,28100,19300,26500,10500
a01005,ALABAMA,BARBOUR,884.8421875,0,0,0,0,350,2700,1500,1600
a01007,ALABAMA,BIBB,622.575,0,0,0,0,300,1100,0,0
a01009,ALABAMA,BLOUNT,644.7,0,0,0,0,100,3100,1500,0
a01011,ALABAMA,BULLOCK,622.7953125,0,0,0,0,950,1500,1100,0
a01013,ALABAMA,BUTLER,776.8296875,0,0,0,0,510,6100,2000,800
a01015,ALABAMA,CALHOUN,605.8640625,0,0,0,0,480,1600,2800,0
a01017,ALABAMA,CHAMBERS,596.5234375,0,0,0,0,320,0,0,0
a01019,ALABAMA,CHEROKEE,553.7078125,0,0,0,0,690,3000,6600,1600
a01021,ALABAMA,CHILTON,692.8484375,0,0,0,0,170,3500,800,0
a01023,ALABAMA,CHOCTAW,913.490625,0,0,0,0,170,0,0,0
a01025,ALABAMA,CLARKE,1238.445313,0,0,0,0,450,0,0,0
a01027,ALABAMA,CLAY,603.9546875,0,0,0,0,100,0,0,0
a01029,ALABAMA,CLEBURNE,560.090625,0,0,0,0,180,1400,0,0
a01031,ALABAMA,COFFEE,678.9671875,0,0,0,0,1100,5800,6600,0
a01033,ALABAMA,COLBERT,592.6140625,0,0,0,0,7850,7800,7500,2700
a01035,ALABAMA,CONECUH,850.140625,0,0,0,0,1450,9700,2000,0
a01037,ALABAMA,COOSA,650.9046875,0,0,0,0,100,0,0,0
a01039,ALABAMA,COVINGTON,1030.451563,0,0,0,0,4700,7900,3900,3800
a01041,ALABAMA,CRENSHAW,608.80625,0,0,0,0,550,4500,1900,0
a01043,ALABAMA,CULLMAN,734.859375,0,0,0,0,150,5800,3000,1800
a01045,ALABAMA,DALE,561.1421875,0,0,0,0,330,2900,4000,0
a01047,ALABAMA,DALLAS,978.6859375,0,0,0,0,2000,6900,11700,2500
a01049,ALABAMA,DE KALB,777.0796875,0,0,0,0,150,3200,9500,1700
a01051,ALABAMA,ELMORE,618.4796875,0,0,0,0,440,3300,1400,0
a01053,ALABAMA,ESCAMBIA,945.05625,0,0,0,0,9700,22200,8700,5200
a01055,ALABAMA,ETOWAH,534.79375,0,0,0,0,300,1000,1300,0
a01057,ALABAMA,FAYETTE,627.65,0,0,0,0,510,900,0,0
a01059,ALABAMA,FRANKLIN,633.834375,0,0,0,0,380,3000,1500,0
a01061,ALABAMA,GENEVA,574.3890625,0,0,0,0,2050,4800,6900,2500
